Title,URL,Registration Year,Make,Model,Trim,KMs Driven,No. of Owners,Transmission,Fuel Type,Body Type,Registration,Location
2021 Tata Nexon XM Diesel,https://droom.in/product/tata-nexon-xm-diesel-2021-6811f9fd87dc73ba058b458a,2021,Tata,Nexon,XM DIESEL,68000.0,1.0,Manual,Diesel,SUV,HR 24,Delhi
2016 Honda BR-V S Diesel,https://droom.in/product/honda-br-v-s-diesel-2016-680c71a07d0b69fa058b45ab,2016,Honda,BR-V,S DIESEL,72000.0,1.0,Manual,Diesel,SUV,DL 1C,Delhi
2017 Porsche Cayman GT4,https://droom.in/product/porsche-cayman-gt4-2017-6836d871f1d574f3448b45ce,2017,Porsche,Cayman,GT4,32500.0,1.0,Automatic,Petrol,Coupe,GJ 05,delhi
2023 Hyundai Alcazar Prestige Executive 7 STR 1.5 Diesel,https://droom.in/product/hyundai-alcazar-prestige-executive-7-str-15-diesel-2023-685ffdda50735333058b456b,2023,Hyundai,Alcazar,Prestige Executive 7 STR 1.5 Diesel,20000.0,1.0,Manual,Diesel,SUV,AP 40,Vijayawada
2010 Honda City S i-VTEC,https://droom.in/product/honda-city-s-i-vtec-2010-673af9f828e8518b058b4599,2010,Honda,City,S I-VTEC,76000.0,2.0,Manual,Petrol,Sedan,HR 26,Gurgaon
2018 Volkswagen Vento 1.2L TSI Highline Plus AT,https://droom.in/product/volkswagen-vento-12l-tsi-highline-plus-at-2018-673897a1ef625230068b45d1,2018,Volkswagen,Vento,1.2L TSI HIGHLINE PLUS AT,75000.0,1.0,Automatic,Petrol,Sedan,UP 16,Ghaziabad
2011 Maruti Suzuki Alto LXi,https://droom.in/product/maruti-suzuki-alto-lxi-2011-68bebfc3d26e6da0058b4581,2011,Maruti Suzuki,Alto,LXI,156211.0,2.0,Manual,Petrol,Hatchback,TN 74,Tirunelveli
2022 Kia Seltos HTK Plus 1.5 Petrol,https://droom.in/product/kia-seltos-htk-plus-15-petrol-2022-679b3cf94de557f5198b45c5,2022,Kia,Seltos,HTK PLUS 1.5 PETROL,16000.0,1.0,Manual,Petrol,SUV,DL 5C,Delhi
2017 Hyundai Creta 1.6 SX+ Petrol,https://droom.in/product/hyundai-creta-16-sx-petrol-2017-679c93b4a97b5152018b456a,2017,Hyundai,Creta,1.6 SX+ Petrol,72000.0,1.0,Manual,Petrol,SUV,DL 8C,Gurgaon
2019 Maruti Suzuki Baleno Delta 1.2,https://droom.in/product/maruti-suzuki-baleno-delta-12-2019-6924109fd4d96cf4048b45a0,2019,Maruti Suzuki,Baleno,DELTA 1.2,30156.0,2.0,Manual,Petrol,Hatchback,OD 05,Bhubaneswar
2019 Tata Harrier XM,https://droom.in/product/tata-harrier-xm-2019-6856a8ea63f973fc598b45af,2019,Tata,Harrier,XM,28000.0,1.0,Manual,Diesel,SUV,HR 98,Gurgaon
2013 Mahindra XUV500 W8 2WD,https://droom.in/product/mahindra-xuv500-w8-2wd-2013-67873d3d24f9757b058b458f,2013,Mahindra,XUV500,W8 2WD,54222.0,1.0,Manual,Diesel,SUV,MH 01,Mumbai
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,https://droom.in/product/hyundai-grand-i10-sportz-12-kappa-vtvt-2016-67ce78e0f360519c058b456d,2016,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,27188.0,1.0,Manual,Petrol,Hatchback,MH 03,Mumbai
2023 Honda City eHEV ZX,https://droom.in/product/honda-city-ehev-zx-2023-6835c58896e55039058b458b,2023,Honda,City eHEV,ZX,36529.0,1.0,Automatic,Hybrid,Sedan,GJ 01,Ahmedabad
2012 Tata Manza Aura ABS Safire BS-IV,https://droom.in/product/tata-manza-aura-abs-safire-bs-iv-2012-679c992ea97b511c028b456e,2012,Tata,manza,AURA ABS SAFIRE BS-IV,68000.0,1.0,Manual,Petrol,Sedan,DL 4C,Delhi
2022 Tata Punch Adventure MT,https://droom.in/product/tata-punch-adventure-mt-2022-67c00ce34de557106b8b456a,2022,Tata,Punch,Adventure MT,20000.0,1.0,Manual,Petrol,SUV,DL 5C,delhi
2018 Isuzu D-Max V-Cross 4X4,https://droom.in/product/isuzu-d-max-v-cross-4x4-2018-684fde314de557cf5a8b4575,2018,Isuzu,D-Max V-Cross,4X4,98000.0,1.0,Manual,Diesel,Pick Up,UP 32,delhi
2020 Tata Tiago Revotorq XZ,https://droom.in/product/tata-tiago-revotorq-xz-2020-67c0069fa10e7528058b4567,2020,Tata,Tiago,REVOTORQ XZ,58000.0,1.0,Manual,Diesel,Hatchback,DL 10,delhi
2017 Honda WR-V S Petrol,https://droom.in/product/honda-wr-v-s-petrol-2017-68bfbc6f509a7002058b4567,2017,Honda,WR-V,S PETROL,248690.0,1.0,Manual,Petrol,Crossover,CH 01,Chandigarh
2015 Maruti Suzuki Swift VXi,https://droom.in/product/maruti-suzuki-swift-vxi-2015-68d0fb3b80f9738d058b456c,2015,Maruti Suzuki,Swift,VXI,102046.0,1.0,Manual,Petrol,Hatchback,TN 02,Chennai
2013 Hyundai Verna 1.6 VTVT SX,https://droom.in/product/hyundai-verna-16-vtvt-sx-2013-6953c5cecee16df7048b459a,2013,Hyundai,Verna,1.6 VTVT SX,102343.0,1.0,Manual,Petrol,Sedan,TN 07,Chennai
2018 Mercedes-Benz C-Class C 220 d,https://droom.in/product/mercedes-benz-c-class-c-220-d-2018-6835451794336be7058b45ce,2018,Mercedes-Benz,C-Class,C220 D,28000.0,1.0,Automatic,Diesel,Sedan,HR 26,delhi
2012 Volkswagen Vento 1.6L Highline,https://droom.in/product/volkswagen-vento-16l-highline-2012-673f13a44de5570a7f8b4591,2012,Volkswagen,Vento,1.6 HIGHLINE,64000.0,2.0,Manual,Petrol,Sedan,DL 12,Delhi
2015 Maruti Suzuki Alto K10 VXi,https://droom.in/product/maruti-suzuki-alto-k10-vxi-2015-694f83fa58136f35058b4568,2015,Maruti Suzuki,Alto K10,VXi,86996.0,1.0,Manual,Petrol,Hatchback,UP 14,Gurgaon
2018 Mahindra Scorpio S5 2WD,https://droom.in/product/mahindra-scorpio-s5-2wd-2018-6738c98cef62520c068b45cb,2018,Mahindra,Scorpio,S5 2WD,55000.0,1.0,Manual,Diesel,SUV,DL 10,Delhi
2021 Maruti Suzuki Vitara Brezza VXi,https://droom.in/product/maruti-suzuki-vitara-brezza-vxi-2021-684fd668ec6951ff058b457c,2021,Maruti Suzuki,Vitara Brezza,VXI,56390.0,1.0,Manual,Petrol,SUV,KL 12,Kochi
2023 Mahindra Thar LX 4 STR Hard Top Petrol AT,https://droom.in/product/mahindra-thar-lx-4-str-hard-top-petrol-at-2023-67c002744fcb6e59058b4567,2023,Mahindra,Thar,LX 4 STR Hard Top Petrol AT,5000.0,1.0,Automatic,Petrol,SUV,DL 7C,delhi
2017 Mercedes-Benz CLA 200 CDI Sport,https://droom.in/product/mercedes-benz-cla-200-cdi-sport-2017-6808a2b6e436765d288b457a,2017,Mercedes-Benz,CLA,200 CDI SPORT,47000.0,1.0,Automatic,Diesel,Sedan,DL 2C,Delhi
2016 Maruti Suzuki Baleno Zeta 1.2,https://droom.in/product/maruti-suzuki-baleno-zeta-12-2016-68bebf7f4de557be7d8b4577,2016,Maruti Suzuki,Baleno,ZETA 1.2,34036.0,1.0,Manual,Petrol,Hatchback,MH 02,Mumbai
2017 Toyota Etios Liva G,https://droom.in/product/toyota-etios-liva-g-2017-687ddeae9c4c6d19688b4588,2017,Toyota,Etios Liva,G,39500.0,1.0,Manual,Petrol,Hatchback,MH 01,Mumbai
2017 Ford Figo Aspire Titanium1.5 TDCi,https://droom.in/product/ford-figo-aspire-titanium15-tdci-2017-687bcd2b21f973cb048b4578,2017,Ford,Aspire,TITANIUM 1.5 TDCI,82000.0,1.0,Manual,Diesel,Sedan,DL 4C,Delhi
2020 Mercedes-Benz E-Class E 220d Exclusive,https://droom.in/product/mercedes-benz-e-class-e-220d-exclusive-2020-679c640902e1526b058b45a8,2020,Mercedes-Benz,E-Class,E 220D EXCLUSIVE,48000.0,1.0,Automatic,Diesel,Sedan,HR 26,Delhi
2016 Maruti Suzuki Ciaz VDi SHVS,https://droom.in/product/maruti-suzuki-ciaz-vdi-shvs-2016-67fe2d51ce1a7652078b4571,2016,Maruti Suzuki,Ciaz,VDI SHVS,78000.0,2.0,Manual,Diesel,Sedan,DL 8C,Delhi
2014 Honda City V i-VTEC,https://droom.in/product/honda-city-v-i-vtec-2014-6958fdbe97b64fd6058b4570,2014,Honda,City,V I-VTEC,91043.0,1.0,Manual,Petrol,Sedan,HR 06,Noida
2022 Mahindra XUV700 MX Petrol MT 5 STR,https://droom.in/product/mahindra-xuv700-mx-petrol-mt-5-str-2022-680c748edb6372bf058b459f,2022,Mahindra,XUV700,MX Petrol MT 5 STR,8500.0,1.0,Manual,Petrol,SUV,UP 16,Delhi
2021 Mahindra Thar LX 4 STR Hard Top Petrol AT BS6,https://droom.in/product/mahindra-thar-lx-4-str-hard-top-petrol-at-bs6-2021-6826ca3032446bf9058b45c7,2021,Mahindra,Thar,LX 4 STR Hard Top Petrol AT,34000.0,1.0,Automatic,Petrol,SUV,HR 26,Delhi
2020 Kia Carnival Limousine 7 STR,https://droom.in/product/kia-carnival-limousine-7-str-2020-68158c544de55797618b45c7,2020,Kia,Carnival,LIMOUSINE 7 STR,58000.0,1.0,Automatic,Diesel,MUV,HR 26,delhi
2016 Maruti Suzuki Swift VXi,https://droom.in/product/maruti-suzuki-swift-vxi-2016-68dbd4604de55787108b45a7,2016,Maruti Suzuki,Swift,VXI,110000.0,1.0,Manual,Petrol,Hatchback,KL 51,Palakkad
2013 Maruti Suzuki Swift VDi,https://droom.in/product/maruti-suzuki-swift-vdi-2013-679ca01ca97b51a7018b456f,2013,Maruti Suzuki,Swift,VDI,67000.0,1.0,Manual,Diesel,Hatchback,HR 7C,Delhi
2013 Ford EcoSport Titanium 1.5L TDCi,https://droom.in/product/ford-ecosport-titanium-15l-tdci-2013-679c924b2a00723c028b4567,2013,Ford,EcoSport,TITANIUM 1.5L TDCI,68000.0,1.0,Manual,Diesel,SUV,DL 12,Delhi
2009 Hyundai Verna 1.6 CRDI SX,https://droom.in/product/hyundai-verna-16-crdi-sx-2009-68bebf3e4de55777028b4578,2009,Hyundai,Verna,1.6 CRDI SX,142000.0,2.0,Manual,Diesel,Sedan,TN 01,Tirunelveli
2019 Maruti Suzuki Alto K10 LXi,https://droom.in/product/maruti-suzuki-alto-k10-lxi-2019-68429effb1e2501e058b45ad,2019,Maruti Suzuki,Alto K10,LXi,42000.0,2.0,Manual,Petrol,Hatchback,HR 30,delhi
2019 BMW X5 XDrive 30d,https://droom.in/product/bmw-x5-xdrive-30d-2019-6836fd9c4de557df6e8b45ab,2019,BMW,X5,XDRIVE 30D,45000.0,2.0,Automatic,Diesel,SUV,HP 24,delhi
2017 Honda WR-V S Petrol,https://droom.in/product/honda-wr-v-s-petrol-2017-6825ac86d0726d8f588b4596,2017,Honda,WR-V,S PETROL,57000.0,1.0,Manual,Petrol,Crossover,DL 10,Delhi
2021 Honda City 5th Generation ZX CVT Petrol,https://droom.in/product/honda-city-5th-generation-zx-cvt-petrol-2021-673f458999ce75fb048b4569,2021,Honda,City 5th Generation,ZX CVT Petrol,52000.0,1.0,Automatic,Petrol,Sedan,HR 26,Delhi
2017 Honda Amaze 1.2 S i-VTEC,https://droom.in/product/honda-amaze-12-s-i-vtec-2017-6814c2acd8d8729c748b4574,2017,Honda,Amaze,1.2 S I-VTEC,53000.0,1.0,Manual,Petrol,Sedan,DL 1C,Delhi
2023 Honda Amaze 1.2 VX CVT Petrol,https://droom.in/product/honda-amaze-12-vx-cvt-petrol-2023-686e7cf44de557686f8b457a,2023,Honda,Amaze,1.2 VX CVT Petrol,1814.0,1.0,Automatic,Petrol,Sedan,KA 11,Bangalore
2015 Volkswagen Polo Comfortline 1.2L (P),https://droom.in/product/volkswagen-polo-comfortline-12l-p-2015-680a834932276a1e058b4587,2015,Volkswagen,Polo,Comfortline 1.2L (P),25000.0,2.0,Manual,Petrol,Hatchback,HR 26,Delhi
2013 Ford Figo 1.5 TDCI Titanium,https://droom.in/product/ford-figo-15-tdci-titanium-2013-679c9f0a2a00726b028b4569,2013,Ford,Figo,1.5 TDCI TITANIUM,72000.0,1.0,Manual,Diesel,Hatchback,DL 11,Delhi
2011 Hyundai Santro Xing GL PLUS CNG,https://droom.in/product/hyundai-santro-xing-gl-plus-cng-2011-6798bf98abff4e0a068b458a,2011,Hyundai,Santro Xing,GL PLUS CNG,67265.0,1.0,Manual,Petrol + CNG,Hatchback,DL 4C,Delhi
2016 Honda Amaze 1.2 VX AT i-VTEC,https://droom.in/product/honda-amaze-12-vx-at-i-vtec-2016-68a56eb84de557ec5c8b456a,2016,Honda,Amaze,1.2 VX AT I-VTEC,98504.0,1.0,Automatic,Petrol,Sedan,KL 39,Kochi
2017 Maruti Suzuki Wagon R Green LXI CNG,https://droom.in/product/maruti-suzuki-wagon-r-green-lxi-cng-2017-695370995ea85112058b4567,2017,Maruti Suzuki,Wagon R,GREEN LXI CNG,44000.0,1.0,Manual,CNG,Hatchback,MH 48,Mumbai
2014 Volkswagen Vento Highline Petrol,https://droom.in/product/volkswagen-vento-highline-petrol-2014-6738b221c28a75a9088b45e4,2014,Volkswagen,Vento,HIGHLINE PETROL,46000.0,2.0,Manual,Petrol,Sedan,DL 8C,Gurgaon
2020 Kia Seltos GTX Plus AT 1.4 Petrol,https://droom.in/product/kia-seltos-gtx-plus-at-14-petrol-2020-6827f4d0925c6d03058b4578,2020,Kia,Seltos,GTX Plus DCT 1.4 Petrol,39000.0,1.0,Automatic,Petrol,SUV,DL 12,Delhi
2016 Maruti Suzuki Eeco 5 STR AC CNG,https://droom.in/product/maruti-suzuki-eeco-5-str-ac-cng-2016-6799ff2e4de557f96d8b45bc,2016,Maruti Suzuki,Eeco,5 STR AC CNG,48022.0,1.0,Manual,Petrol + CNG,Van,DL 3C,Delhi
2019 Maruti Suzuki Vitara Brezza LDi,https://droom.in/product/maruti-suzuki-vitara-brezza-ldi-2019-68c81c9ef33a6c04058b4570,2019,Maruti Suzuki,Vitara Brezza,LDI,36385.0,1.0,Manual,Diesel,SUV,KL 30,Kottayam
2020 Tata Nexon Kraz Petrol,https://droom.in/product/tata-nexon-kraz-petrol-2020-679b7b0ff4f84fc3058b4605,2020,Tata,Nexon,KRAZ PETROL,40000.0,1.0,Manual,Petrol,SUV,DL 9C,Gurgaon
2019 Hyundai Verna 1.6 VTVT SX (O) AT,https://droom.in/product/hyundai-verna-16-vtvt-sx-o-at-2019-6738d31aef6252f4058b4607,2019,Hyundai,Verna,1.6 VTVT SX (O) AT,58000.0,1.0,Automatic,Petrol,Sedan,DL 1C,Delhi
2018 Mahindra TUV300 T4 Plus,https://droom.in/product/mahindra-tuv300-t4-plus-2018-6814c188e1437392778b4570,2018,Mahindra,TUV300,T4 PLUS,72000.0,1.0,Manual,Diesel,SUV,DL 8C,Delhi
2021 Hyundai Verna SX 1.5 VTVT BS6,https://droom.in/product/hyundai-verna-sx-15-vtvt-bs6-2021-6811db6271b974c4058b457a,2021,Hyundai,Verna,SX 1.5 VTVT,35000.0,1.0,Manual,Petrol,Sedan,DL 4C,Delhi
2014 Honda Amaze 1.2 S i-VTEC,https://droom.in/product/honda-amaze-12-s-i-vtec-2014-6738ad60ef62520a068b45e0,2014,Honda,Amaze,1.2 S I-VTEC,34000.0,1.0,Manual,Petrol,Sedan,HR 26,Gurgaon
2022 Mercedes-Benz E-Class E 220d Exclusive,https://droom.in/product/mercedes-benz-e-class-e-220d-exclusive-2022-67c000b84de557066b8b456e,2022,Mercedes-Benz,E-Class,E 220D EXCLUSIVE,11000.0,1.0,Automatic,Diesel,Sedan,HR 29,delhi
2017 Maruti Suzuki Swift VDi,https://droom.in/product/maruti-suzuki-swift-vdi-2017-694f7d1484cc7322058b4568,2017,Maruti Suzuki,Swift,VDI,146320.0,2.0,Manual,Diesel,Hatchback,TN 45,Thanjavur
2018 Land Rover Discovery Sport Pure,https://droom.in/product/land-rover-discovery-sport-pure-2018-68074dd2907e53f0098b4591,2018,Land Rover,Discovery Sport,PURE,39000.0,1.0,Automatic,Diesel,SUV,DL 2C,Delhi
2014 Tata Safari Storme 2.2 EX 4X2,https://droom.in/product/tata-safari-storme-22-ex-4x2-2014-67a078d07ed669615f8b456b,2014,Tata,Safari Storme,2.2 EX 4X2,68000.0,1.0,Manual,Diesel,SUV,DL 5C,Delhi
2020 Maruti Suzuki Vitara Brezza LXi,https://droom.in/product/maruti-suzuki-vitara-brezza-lxi-2020-688ede629d776af9048b4567,2020,Maruti Suzuki,Vitara Brezza,LXI,58000.0,1.0,Manual,Petrol,SUV,DL 5C,Delhi
2016 Honda City 1.5 V MT,https://droom.in/product/honda-city-15-v-mt-2016-6825a4774de5575c548b45d3,2016,Honda,City,1.5 V MT,38000.0,1.0,Manual,Petrol,Sedan,DL 1C,Delhi
2021 Kia Seltos GTX Plus 1.4 Petrol,https://droom.in/product/kia-seltos-gtx-plus-14-petrol-2021-67619a9cb1be6ea0058b456e,2021,Kia,Seltos,GTX PLUS 1.4 PETROL,11800.0,1.0,Manual,Petrol,SUV,HR 51,Faridabad
2016 Toyota Land Cruiser LC 200 VX,https://droom.in/product/toyota-land-cruiser-lc-200-vx-2016-6836ea7a6f8f7414468b45d7,2016,Toyota,Land Cruiser,LC200 VX,162000.0,3.0,Automatic,Diesel,SUV,UK 07,delhi
2015 Maruti Suzuki Celerio VDi,https://droom.in/product/maruti-suzuki-celerio-vdi-2015-679c932302e1529a028b4569,2015,Maruti Suzuki,Celerio,VDI,65000.0,1.0,Manual,Diesel,Hatchback,DL 8C,Delhi
2011 Hyundai Santro Xing GL,https://droom.in/product/hyundai-santro-xing-gl-2011-686b77906f6272ea048b4591,2011,Hyundai,Santro Xing,GL,103521.0,4.0,Manual,Petrol,Hatchback,KL 45,Thrissur
2017 Volkswagen Ameo Highline 1.5L (D),https://droom.in/product/volkswagen-ameo-highline-15l-d-2017-67ff7c4d93b7513c528b459d,2017,Volkswagen,Ameo,HIGHLINE 1.5L (D),76000.0,1.0,Manual,Diesel,Sedan,HR 26,Delhi
2021 Hyundai i20 Asta (O) 1.0 Turbo DCT Petrol,https://droom.in/product/hyundai-i20-asta-o-10-turbo-dct-petrol-2021-6799d0184de557096e8b4590,2021,Hyundai,i20,ASTA 1.0 (O) TURBO DCT PETROL,66000.0,1.0,Automatic,Petrol,Hatchback,DL 8C,Delhi
2015 Maruti Suzuki Celerio VXi,https://droom.in/product/maruti-suzuki-celerio-vxi-2015-6946b2ff3ef26ac0058b4568,2015,Maruti Suzuki,Celerio,VXI,53001.0,1.0,Manual,Petrol,Hatchback,MH 14,Pune
2015 Jaguar XF 2.2 Litre Luxury (Diesel),https://droom.in/product/jaguar-xf-22-litre-luxury-diesel-2015-679dc0a64de5570d6d8b459b,2015,Jaguar,XF,2.2 DIESEL LUXURY,65000.0,1.0,Automatic,Diesel,Sedan,HR 51,Delhi
2016 Honda BR-V E Diesel,https://droom.in/product/honda-br-v-e-diesel-2016-6798c3b3abff4e16068b458a,2016,Honda,BR-V,E DIESEL,987654.0,6.0,Manual,Diesel,SUV,DL 05,Delhi
2021 Honda Amaze 1.2 VX CVT Petrol BS6,https://droom.in/product/honda-amaze-12-vx-cvt-petrol-bs6-2021-68998057989f4e44658b456e,2021,Honda,Amaze,1.2 VX CVT Petrol,19919.0,1.0,Automatic,Petrol,Sedan,JH 01,Ranchi
2023 Kia Sonet HTK Plus 1.2,https://droom.in/product/kia-sonet-htk-plus-12-2023-68bef570ef3076fa048b4567,2023,Kia,Sonet,HTK PLUS 1.2,39000.0,1.0,Manual,Petrol,SUV,MH 10,Mumbai
2021 Tata Nexon XMA (S) Petrol,https://droom.in/product/tata-nexon-xma-s-petrol-2021-6825abb5405a6c8a568b45c5,2021,Tata,Nexon,XMA (S) PETROL,30000.0,1.0,Automated Manual Transmission,Petrol,SUV,DL 9C,Delhi
2014 Toyota Innova 2.5 GX 7 STR BS IV,https://droom.in/product/toyota-innova-25-gx-7-str-bs-iv-2014-67a071ace5f1510c608b4572,2014,Toyota,Innova,2.5 GX 7 STR BS IV,155000.0,1.0,Manual,Diesel,MUV,DL 2C,Delhi
2018 Hyundai Creta 1.6 E+ Petrol,https://droom.in/product/hyundai-creta-16-e-petrol-2018-67bfff725acb73d7058b4567,2018,Hyundai,Creta,1.6 E+ Petrol,72000.0,1.0,Manual,Petrol,SUV,DL 8C,delhi
2016 Maruti Suzuki Ertiga VDi,https://droom.in/product/maruti-suzuki-ertiga-vdi-2016-67ff82bd4de557c27d8b458c,2016,Maruti Suzuki,Ertiga,VDI,59000.0,1.0,Manual,Diesel,MUV,DL 9C,Delhi
2019 Maruti Suzuki Alto K10 VXi,https://droom.in/product/maruti-suzuki-alto-k10-vxi-2019-68d39ac54e4b75c9048b457a,2019,Maruti Suzuki,Alto K10,VXi,75000.0,1.0,Manual,Petrol,Hatchback,RJ 40,Jodhpur
2023 Toyota Vellfire VIP Executive Lounge,https://droom.in/product/toyota-vellfire-vip-executive-lounge-2023-679c5e5ea97b5149058b45b4,2023,Toyota,Vellfire,VIP Executive Lounge,28000.0,1.0,Automatic,Hybrid,MUV,DL 10,Delhi
2017 Ford Figo Titanium 1.2 Ti-VCT,https://droom.in/product/ford-figo-titanium-12-ti-vct-2017-673af297eb296dc9048b457c,2017,Ford,Figo,TITANIUM 1.2 TI-VCT,40000.0,1.0,Manual,Petrol,Hatchback,DL 10,Gurgaon
2022 Hyundai Creta S 1.5 Petrol,https://droom.in/product/hyundai-creta-s-15-petrol-2022-67bff6440e4a4fb4058b4567,2022,Hyundai,Creta,S 1.5 Petrol,25000.0,1.0,Manual,Petrol,SUV,DL 9C,delhi
2019 Tata Hexa XE 4x2 7 STR,https://droom.in/product/tata-hexa-xe-4x2-7-str-2019-6821bcf732fe6da24c8b459f,2019,Tata,Hexa,XE 4X2 7 STR,89000.0,1.0,Manual,Diesel,SUV,UP 14,Delhi
2022 Tata Nexon XM Plus (S),https://droom.in/product/tata-nexon-xm-plus-s-2022-67ff714893b75161518b45a3,2022,Tata,Nexon,XM Plus (S),38000.0,1.0,Manual,Petrol,SUV,HR 98,Delhi
2022 Hyundai Santro Magna CNG,https://droom.in/product/hyundai-santro-magna-cng-2022-682313784de5576e228b45ad,2022,Hyundai,Santro,MAGNA CNG,52000.0,1.0,Manual,Petrol + CNG,Hatchback,HR 26,Delhi
2018 Jeep Compass 2.0L Sports Bedrock 4x2,https://droom.in/product/jeep-compass-20l-sports-bedrock-4x2-2018-679b3242f5e769b0058b45e7,2018,Jeep,Compass,2.0L SPORTS BEDROCK 4X2,72000.0,1.0,Manual,Diesel,SUV,HR 26,Delhi
2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT,https://droom.in/product/hyundai-grand-i10-magna-12-kappa-vtvt-2018-673afbbdb9bf70001b8b4568,2018,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,69000.0,1.0,Manual,Petrol,Hatchback,DL 10,Delhi
2016 Skoda Rapid 1.6 MPI Elegance,https://droom.in/product/skoda-rapid-16-mpi-elegance-2016-682dc70823cc51af058b45ac,2016,Skoda,Rapid,1.6 MPI ELEGANCE,58000.0,1.0,Manual,Petrol,Sedan,DL 8C,Delhi
2017 Hyundai Grand i10 1.2 Sportz (O) AT,https://droom.in/product/hyundai-grand-i10-12-sportz-o-at-2017-68356bff4de557a1628b45c8,2017,Hyundai,Grand i10,1.2 SPORTZ (O) AT,13900.0,1.0,Manual,Petrol,Hatchback,MH 03,Mumbai
2016 Honda Amaze 1.5 SX i-DTEC,https://droom.in/product/honda-amaze-15-sx-i-dtec-2016-692d9f644de55715328b456c,2016,Honda,Amaze,1.5 SX I-DTEC,34043.0,1.0,Manual,Diesel,Sedan,KL 10,Palakkad
2020 Kia Sonet HTX 1.5,https://droom.in/product/kia-sonet-htx-15-2020-682c4a2c1baa72c9518b458e,2020,Kia,Sonet,HTX 1.5,42000.0,1.0,Manual,Diesel,SUV,DL 4C,Delhi
2015 Ford EcoSport Trend 1.5 Ti-VCT,https://droom.in/product/ford-ecosport-trend-15-ti-vct-2015-67c00c14220177ee058b456e,2015,Ford,EcoSport,TREND 1.5L TI-VCT,41000.0,1.0,Manual,Petrol,SUV,DL 8C,delhi
2018 Hyundai Grand i10 Sportz 1.2 Kappa VTVT DUAL TONE,https://droom.in/product/hyundai-grand-i10-sportz-12-kappa-vtvt-dual-tone-2018-67e77c6d4de557796e8b45bf,2018,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT DUAL TONE,106000.0,1.0,Manual,Petrol,Hatchback,DL 7C,Delhi
2019 Maruti Suzuki Vitara Brezza VDi,https://droom.in/product/maruti-suzuki-vitara-brezza-vdi-2019-679b381a605a6cc4058b45be,2019,Maruti Suzuki,Vitara Brezza,VDI,95000.0,1.0,Manual,Diesel,SUV,DL 84,Delhi
2016 Maruti Suzuki Swift DZire LXi,https://droom.in/product/maruti-suzuki-swift-dzire-lxi-2016-680c6fe5db6372cd058b45af,2016,Maruti Suzuki,Swift Dzire,LXI,78000.0,1.0,Manual,Petrol,Sedan,DL 2C,Delhi
2024 Mahindra Thar LX 4 STR RWD Hard Top Petrol AT,https://droom.in/product/mahindra-thar-lx-4-str-rwd-hard-top-petrol-at-2024-68907581a90269c21a8b4573,2024,Mahindra,Thar,LX 4 STR RWD Hard Top Petrol AT,16000.0,1.0,Automatic,Petrol,SUV,HR 10,Delhi
2013 Mahindra XUV500 W6,https://droom.in/product/mahindra-xuv500-w6-2013-67a076157ed6693e5f8b456b,2013,Mahindra,XUV500,W6,68000.0,1.0,Manual,Diesel,SUV,HR 26,Delhi
2014 Bentley Continental GT V8,https://droom.in/product/bentley-continental-gt-v8-2014-6837d8994de557ed608b4583,2014,Bentley,Continental GT,V8,20700.0,1.0,Automatic,Petrol,Coupe,DL 1C,delhi
2013 Renault Duster 110 PS RXL,https://droom.in/product/renault-duster-110-ps-rxl-2013-67a073afe5f15142608b4569,2013,Renault,Duster,110 PS RXL,68000.0,1.0,Manual,Diesel,SUV,DL 3C,Delhi
2019 Maruti Suzuki Baleno Delta 1.2,https://droom.in/product/maruti-suzuki-baleno-delta-12-2019-679b6059f5e769b6058b461f,2019,Maruti Suzuki,Baleno,DELTA 1.2,52000.0,1.0,Manual,Petrol,Hatchback,HR 26,Delhi
2014 Chevrolet Captiva LT,https://droom.in/product/chevrolet-captiva-lt-2014-67a074c6e5f1519a608b4575,2014,chevrolet,Captiva,LT,65000.0,1.0,Manual,Diesel,SUV,HR 26,Delhi
2016 Hyundai Verna FLUIDIC 1.6 EX VTVT,https://droom.in/product/hyundai-verna-fluidic-16-ex-vtvt-2016-6738b4ebc28a7564098b462b,2016,Hyundai,Verna,1.6 VTVT EX,74000.0,1.0,Manual,Petrol,Sedan,DL 9C,Gurgaon
2020 Maruti Suzuki Wagon R VXI 1.0,https://droom.in/product/maruti-suzuki-wagon-r-vxi-10-2020-6798bf3dd09450cc058b457c,2020,Maruti Suzuki,Wagon R,VXI 1.0,62576.0,1.0,Manual,Petrol,Hatchback,DL 1C,Delhi
2020 Mahindra XUV300 W4 Petrol,https://droom.in/product/mahindra-xuv300-w4-petrol-2020-679dbcb8744d75fe058b45c0,2020,Mahindra,XUV300,W4 PETROL,55000.0,1.0,Manual,Petrol,SUV,DL 5C,Delhi
2012 Maruti Suzuki Swift VDi,https://droom.in/product/maruti-suzuki-swift-vdi-2012-67a075304de557d74b8b458a,2012,Maruti Suzuki,Swift,VDI,72000.0,1.0,Manual,Diesel,Hatchback,DL 3C,Delhi
